"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2014-01-01,972,868,194,179,15,22.35
2014-01-02,1055,877,265,243,22,30.22
2014-01-03,1038,867,264,241,23,30.45
2014-01-04,982,824,237,221,16,28.76
2014-01-05,918,822,184,171,13,22.38
2014-01-06,1000,860,242,227,15,28.14
2014-01-07,994,857,231,212,19,26.95
2014-01-08,965,859,228,211,17,26.54
2014-01-09,964,847,225,204,21,26.56
2014-01-10,903,770,222,205,17,28.83
2014-01-11,973,789,199,182,17,25.22
2014-01-12,837,728,162,155,7,22.25
2014-01-13,1030,885,215,205,10,24.29
2014-01-14,890,772,220,205,15,28.5
2014-01-15,840,785,253,236,17,32.23
2014-01-16,958,812,244,231,13,30.05
2014-01-17,885,739,238,231,7,32.21
2014-01-18,964,825,228,209,19,27.64
2014-01-19,929,806,182,174,8,22.58
2014-01-20,977,835,217,209,8,25.99
2014-01-21,871,742,225,207,18,30.32
2014-01-22,922,802,224,212,12,27.93
2014-01-23,913,807,216,208,8,26.77
2014-01-24,882,760,229,214,15,30.13
2014-01-25,936,797,189,180,9,23.71
2014-01-26,899,778,192,178,14,24.68
2014-01-27,1012,847,227,215,12,26.8
2014-01-28,957,814,218,203,15,26.78
2014-01-29,904,784,227,222,5,28.95
2014-01-30,931,798,204,191,13,25.56
2014-01-31,936,787,232,225,7,29.48
2014-02-01,1049,880,220,201,19,25
2014-02-02,1048,870,191,179,12,21.95
2014-02-03,1193,1008,255,236,19,25.3
2014-02-04,1030,884,235,211,24,26.58
2014-02-05,989,871,193,182,11,22.16
2014-02-06,1109,1001,271,244,27,27.07
2014-02-07,933,851,223,215,8,26.2
2014-02-08,1131,994,225,213,12,22.64
2014-02-09,1094,994,213,207,6,21.43
2014-02-10,1203,1027,269,245,24,26.19
2014-02-11,1055,901,228,207,21,25.31
2014-02-12,1024,927,273,255,18,29.45
2014-02-13,1071,986,294,263,31,29.82
2014-02-14,1043,918,262,235,27,28.54
2014-02-15,1067,931,244,230,14,26.21
2014-02-16,1108,1006,183,168,15,18.19
2014-02-17,1272,1151,274,258,16,23.81
2014-02-18,1083,965,266,249,17,27.56
2014-02-19,1026,948,253,234,19,26.69
2014-02-20,1066,969,241,224,17,24.87
2014-02-21,1042,926,254,236,18,27.43
2014-02-22,982,884,229,217,12,25.9
2014-02-23,1056,940,220,201,19,23.4
2014-02-24,1163,982,312,263,49,31.77
2014-02-25,995,859,227,213,14,26.43
2014-02-26,955,811,218,206,12,26.88
2014-02-27,974,829,225,205,20,27.14
2014-02-28,1038,918,261,243,18,28.43
2014-03-01,1080,964,235,217,18,24.38
2014-03-02,1024,913,199,184,15,21.8
2014-03-03,1156,1032,268,249,19,25.97
2014-03-04,1038,901,240,219,21,26.64
2014-03-05,846,761,185,170,15,24.31
2014-03-06,827,729,187,180,7,25.65
2014-03-07,843,745,217,194,23,29.13
2014-03-08,1014,901,227,211,16,25.19
2014-03-09,1193,1057,216,201,15,20.44
2014-03-10,1138,1020,288,269,19,28.24
2014-03-11,1033,897,230,214,16,25.64
2014-03-12,1058,946,241,228,13,25.48
2014-03-13,1003,860,229,213,16,26.63
2014-03-14,1069,927,239,215,24,25.78
2014-03-15,1103,997,228,212,16,22.87
2014-03-16,1154,1034,201,183,18,19.44
2014-03-17,990,844,220,198,22,26.07
2014-03-18,768,721,210,190,20,29.13
2014-03-19,995,833,203,187,16,24.37
2014-03-20,1119,961,241,228,13,25.08
2014-03-21,1141,977,262,236,26,26.82
2014-03-22,1059,949,205,191,14,21.6
2014-03-23,1103,981,211,200,11,21.51
2014-03-24,1220,1055,264,245,19,25.02
2014-03-25,1042,907,226,213,13,24.92
2014-03-26,993,883,254,236,18,28.77
2014-03-27,981,838,229,210,19,27.33
2014-03-28,981,864,252,231,21,29.17
2014-03-29,1054,906,214,192,22,23.62
2014-03-30,1225,1080,209,194,15,19.35
2014-03-31,1177,1039,256,230,26,24.64
2014-04-01,1064,912,237,218,19,25.99
2014-04-02,1119,962,236,215,21,24.53
2014-04-03,1121,977,234,220,14,23.95
2014-04-04,1174,1016,265,244,21,26.08
2014-04-05,1142,1025,229,211,18,22.34
2014-04-06,1242,1071,207,191,16,19.33
2014-04-07,1292,1126,255,242,13,22.65
2014-04-08,1071,893,219,200,19,24.52
2014-04-09,1041,921,211,193,18,22.91
2014-04-10,1133,948,225,206,19,23.73
2014-04-11,1175,984,267,240,27,27.13
2014-04-12,1254,1092,247,226,21,22.62
2014-04-13,1248,1088,227,211,16,20.86
2014-04-14,1311,1155,268,246,22,23.2
2014-04-15,1066,918,234,222,12,25.49
2014-04-16,1104,951,267,246,21,28.08
2014-04-17,1130,998,230,215,15,23.05
2014-04-18,1050,926,206,191,15,22.25
2014-04-19,1159,1023,211,198,13,20.63
2014-04-20,1070,937,222,207,15,23.69
2014-04-21,1079,949,200,187,13,21.07
2014-04-22,1165,973,256,244,12,26.31
2014-04-23,1018,879,225,213,12,25.6
2014-04-24,903,762,211,193,18,27.69
2014-04-25,1091,949,259,240,19,27.29
2014-04-26,1146,991,234,217,17,23.61
2014-04-27,1061,932,187,174,13,20.06
2014-04-28,972,847,246,233,13,29.04
2014-04-29,908,785,208,190,18,26.5
2014-04-30,944,799,210,189,21,26.28
2014-05-01,940,817,193,173,20,23.62
2014-05-02,1125,953,249,225,24,26.13
2014-05-03,1043,951,209,195,14,21.98
2014-05-04,1020,911,204,186,18,22.39
2014-05-05,1195,1008,268,254,14,26.59
2014-05-06,984,843,228,220,8,27.05
2014-05-07,982,839,209,193,16,24.91
2014-05-08,1024,926,207,190,17,22.35
2014-05-09,937,808,221,197,24,27.35
2014-05-10,964,861,202,186,16,23.46
2014-05-11,1049,930,196,183,13,21.08
2014-05-12,1166,1010,263,248,15,26.04
2014-05-13,922,756,222,204,18,29.37
2014-05-14,1023,851,216,194,22,25.38
2014-05-15,985,848,235,220,15,27.71
2014-05-16,1014,806,189,167,22,23.45
2014-05-17,1055,862,200,188,12,23.2
2014-05-18,1143,997,216,204,12,21.66
2014-05-19,1245,1057,265,250,15,25.07
2014-05-20,1068,893,263,243,20,29.45
2014-05-21,1111,969,229,220,9,23.63
2014-05-22,928,809,226,194,32,27.94
2014-05-23,1134,957,256,242,14,26.75
2014-05-24,1196,997,218,203,15,21.87
2014-05-25,1265,1096,233,217,16,21.26
2014-05-26,1226,1056,248,235,13,23.48
2014-05-27,995,852,212,194,18,24.88
2014-05-28,1192,942,217,206,11,23.04
2014-05-29,1126,934,204,188,16,21.84
2014-05-30,1337,1094,268,252,16,24.5
2014-05-31,1236,1044,229,212,17,21.93
2014-06-01,1179,1006,192,174,18,19.09
