"date","passages.jour.rpu","hospit.jour","mutations.jour.rpu","transfert.jour.rpu","taux.hosp"
2014-01-01,972,194,179,15,19.96
2014-01-02,1055,265,243,22,25.12
2014-01-03,1038,264,241,23,25.43
2014-01-04,982,237,221,16,24.13
2014-01-05,918,184,171,13,20.04
2014-01-06,1000,242,227,15,24.2
2014-01-07,994,231,212,19,23.24
2014-01-08,965,228,211,17,23.63
2014-01-09,964,225,204,21,23.34
2014-01-10,903,222,205,17,24.58
2014-01-11,973,199,182,17,20.45
2014-01-12,837,162,155,7,19.35
2014-01-13,1030,215,205,10,20.87
2014-01-14,890,220,205,15,24.72
2014-01-15,840,253,236,17,30.12
2014-01-16,958,244,231,13,25.47
2014-01-17,885,238,231,7,26.89
2014-01-18,964,228,209,19,23.65
2014-01-19,929,182,174,8,19.59
2014-01-20,977,217,209,8,22.21
2014-01-21,871,225,207,18,25.83
2014-01-22,922,224,212,12,24.3
2014-01-23,913,216,208,8,23.66
2014-01-24,882,229,214,15,25.96
2014-01-25,936,189,180,9,20.19
2014-01-26,899,192,178,14,21.36
2014-01-27,1012,227,215,12,22.43
2014-01-28,957,218,203,15,22.78
2014-01-29,904,227,222,5,25.11
2014-01-30,931,204,191,13,21.91
2014-01-31,936,232,225,7,24.79
2014-02-01,1049,220,201,19,20.97
2014-02-02,1048,191,179,12,18.23
2014-02-03,1193,255,236,19,21.37
2014-02-04,1030,235,211,24,22.82
2014-02-05,989,193,182,11,19.51
2014-02-06,1109,271,244,27,24.44
2014-02-07,933,223,215,8,23.9
2014-02-08,1131,225,213,12,19.89
2014-02-09,1094,213,207,6,19.47
2014-02-10,1203,269,245,24,22.36
2014-02-11,1055,228,207,21,21.61
2014-02-12,1024,273,255,18,26.66
2014-02-13,1071,294,263,31,27.45
2014-02-14,1043,262,235,27,25.12
2014-02-15,1067,244,230,14,22.87
2014-02-16,1108,183,168,15,16.52
2014-02-17,1272,274,258,16,21.54
2014-02-18,1083,266,249,17,24.56
2014-02-19,1026,253,234,19,24.66
2014-02-20,1066,241,224,17,22.61
2014-02-21,1042,254,236,18,24.38
2014-02-22,982,229,217,12,23.32
2014-02-23,1056,220,201,19,20.83
2014-02-24,1163,312,263,49,26.83
2014-02-25,995,227,213,14,22.81
2014-02-26,955,218,206,12,22.83
2014-02-27,974,225,205,20,23.1
2014-02-28,1038,261,243,18,25.14
2014-03-01,1080,235,217,18,21.76
2014-03-02,1024,199,184,15,19.43
2014-03-03,1156,268,249,19,23.18
2014-03-04,1038,240,219,21,23.12
2014-03-05,846,185,170,15,21.87
2014-03-06,827,187,180,7,22.61
2014-03-07,843,217,194,23,25.74
2014-03-08,1014,227,211,16,22.39
2014-03-09,1193,216,201,15,18.11
2014-03-10,1138,288,269,19,25.31
2014-03-11,1033,230,214,16,22.27
2014-03-12,1058,241,228,13,22.78
2014-03-13,1003,229,213,16,22.83
2014-03-14,1069,239,215,24,22.36
2014-03-15,1103,228,212,16,20.67
2014-03-16,1154,201,183,18,17.42
2014-03-17,990,220,198,22,22.22
2014-03-18,768,210,190,20,27.34
2014-03-19,995,203,187,16,20.4
2014-03-20,1119,241,228,13,21.54
2014-03-21,1141,262,236,26,22.96
2014-03-22,1059,205,191,14,19.36
2014-03-23,1103,211,200,11,19.13
2014-03-24,1220,264,245,19,21.64
2014-03-25,1042,226,213,13,21.69
2014-03-26,993,254,236,18,25.58
2014-03-27,981,229,210,19,23.34
2014-03-28,981,252,231,21,25.69
2014-03-29,1054,214,192,22,20.3
2014-03-30,1225,209,194,15,17.06
2014-03-31,1177,256,230,26,21.75
2014-04-01,1064,237,218,19,22.27
2014-04-02,1119,236,215,21,21.09
2014-04-03,1121,234,220,14,20.87
2014-04-04,1174,265,244,21,22.57
2014-04-05,1142,229,211,18,20.05
2014-04-06,1242,207,191,16,16.67
2014-04-07,1292,255,242,13,19.74
2014-04-08,1071,219,200,19,20.45
2014-04-09,1041,211,193,18,20.27
2014-04-10,1133,225,206,19,19.86
2014-04-11,1175,267,240,27,22.72
2014-04-12,1254,247,226,21,19.7
2014-04-13,1248,227,211,16,18.19
2014-04-14,1311,268,246,22,20.44
2014-04-15,1066,234,222,12,21.95
2014-04-16,1104,267,246,21,24.18
2014-04-17,1130,230,215,15,20.35
2014-04-18,1050,206,191,15,19.62
2014-04-19,1159,211,198,13,18.21
2014-04-20,1070,222,207,15,20.75
2014-04-21,1079,200,187,13,18.54
2014-04-22,1165,256,244,12,21.97
2014-04-23,1018,225,213,12,22.1
2014-04-24,903,211,193,18,23.37
2014-04-25,1091,259,240,19,23.74
2014-04-26,1146,234,217,17,20.42
2014-04-27,1061,187,174,13,17.62
2014-04-28,972,246,233,13,25.31
2014-04-29,908,208,190,18,22.91
2014-04-30,944,210,189,21,22.25
2014-05-01,940,193,173,20,20.53
2014-05-02,1125,249,225,24,22.13
2014-05-03,1043,209,195,14,20.04
2014-05-04,1020,204,186,18,20
2014-05-05,1195,268,254,14,22.43
2014-05-06,984,228,220,8,23.17
2014-05-07,982,209,193,16,21.28
2014-05-08,1024,207,190,17,20.21
2014-05-09,937,221,197,24,23.59
2014-05-10,964,202,186,16,20.95
2014-05-11,1049,196,183,13,18.68
2014-05-12,1166,263,248,15,22.56
2014-05-13,922,222,204,18,24.08
2014-05-14,1023,216,194,22,21.11
2014-05-15,985,235,220,15,23.86
2014-05-16,1014,189,167,22,18.64
2014-05-17,1055,200,188,12,18.96
2014-05-18,1143,216,204,12,18.9
2014-05-19,1245,265,250,15,21.29
2014-05-20,1068,263,243,20,24.63
2014-05-21,1111,229,220,9,20.61
2014-05-22,928,226,194,32,24.35
2014-05-23,1134,256,242,14,22.57
2014-05-24,1196,218,203,15,18.23
2014-05-25,1265,233,217,16,18.42
2014-05-26,1226,248,235,13,20.23
2014-05-27,995,212,194,18,21.31
2014-05-28,1192,217,206,11,18.2
2014-05-29,1126,204,188,16,18.12
2014-05-30,1337,268,252,16,20.04
2014-05-31,1236,229,212,17,18.53
2014-06-01,1179,192,174,18,16.28
2014-06-02,1159,251,226,25,21.66
2014-06-03,1116,229,212,17,20.52
2014-06-04,1007,218,203,15,21.65
2014-06-05,1126,258,242,16,22.91
2014-06-06,1138,241,214,27,21.18
2014-06-07,1240,221,199,22,17.82
2014-06-08,1246,202,189,13,16.21
2014-06-09,1259,206,197,9,16.36
2014-06-10,1269,281,259,22,22.14
2014-06-11,1164,221,204,17,18.99
2014-06-12,1213,250,232,18,20.61
2014-06-13,1063,212,188,24,19.94
2014-06-14,1030,201,187,14,19.51
2014-06-15,1264,197,179,18,15.59
2014-06-16,1313,250,230,20,19.04
2014-06-17,1156,237,221,16,20.5
2014-06-18,1151,236,213,23,20.5
2014-06-19,1079,214,200,14,19.83
2014-06-20,1164,265,246,19,22.77
2014-06-21,1218,216,199,17,17.73
2014-06-22,1290,230,214,16,17.83
2014-06-23,1329,249,231,18,18.74
2014-06-24,1133,225,205,20,19.86
2014-06-25,1142,244,221,23,21.37
2014-06-26,1107,235,217,18,21.23
2014-06-27,1128,234,216,18,20.74
2014-06-28,1168,254,238,16,21.75
2014-06-29,1208,244,221,23,20.2
2014-06-30,1236,253,235,18,20.47
2014-07-01,985,208,191,17,21.12
2014-07-02,1092,227,209,18,20.79
2014-07-03,1041,233,219,14,22.38
2014-07-04,1114,200,185,15,17.95
2014-07-05,1216,205,192,13,16.86
2014-07-06,1324,187,164,23,14.12
2014-07-07,1233,260,243,17,21.09
2014-07-08,1059,222,208,14,20.96
2014-07-09,1020,212,195,17,20.78
2014-07-10,890,219,202,17,24.61
2014-07-11,1136,236,224,12,20.77
2014-07-12,1152,215,197,18,18.66
2014-07-13,1224,201,184,17,16.42
2014-07-14,1250,206,191,15,16.48
2014-07-15,1086,217,206,11,19.98
2014-07-16,1162,227,211,16,19.54
2014-07-17,1080,224,210,14,20.74
2014-07-18,1183,224,208,16,18.93
2014-07-19,1185,197,188,9,16.62
2014-07-20,1213,187,174,13,15.42
2014-07-21,1213,250,233,17,20.61
2014-07-22,1155,246,232,14,21.3
2014-07-23,1128,263,251,12,23.32
2014-07-24,1119,218,206,12,19.48
2014-07-25,1109,225,213,12,20.29
2014-07-26,1190,247,222,25,20.76
2014-07-27,1116,226,209,17,20.25
2014-07-28,1198,257,241,16,21.45
